0,absorb,"An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone , which tends to absorb the sulfur ",22,0,"[[['none2&type', 'Geography', 'Music']], [['Physics and chemistry', 'Physics and chemistry', 'Weather']], ['tends to'], ['through']]",
1,absorb,The yellow beta carotene pigment absorbs blue -LRB- not yellow -RRB- laser light ,5,0,"[[['Literature and writing', 'Permission and obligation', 'Language'], ['Drinks', 'Colours and Shapes', 'Physics and chemistry'], ['Art']], [['Physics and chemistry'], ['Physics and chemistry', 'Houses and homes', 'Crime and punishment', 'Transport by car or lorry']], ['none'], ['none']]",
2,absorb,"This time , the ground absorbed the shock waves enough to transfer her images to the metal in bas - relief ",5,0,"[[['Geography', 'Engineering', 'Opinion and argument', 'Difficulty and failure', 'Success', 'Success', 'Success', 'Opinion and argument', 'Opinion and argument', 'Opinion and argument']], [['Health problems', 'The environment', 'Engineering', 'Appearance'], ['Physics and chemistry', 'Appearance', 'Success']], ['enough'], ['to']]",
3,absorb,"'' Vitamins could be passed right out of the body without being absorbed , '' he says ",12,0,"[[['Cooking and eating']], [], ['right'], ['out of']]",
4,absorb,"As Eliot wrote : '' In a warm haze , the sultry light is absorbed , not refracted , by grey stone . . . . '' and flowers do indeed '' sleep in empty silence . '",14,0,"[[['Weather'], ['Physics and chemistry', 'Houses and homes', 'Crime and punishment', 'Transport by car or lorry']], [['Opinion and argument']], ['in a warm haze'], ['by']]",
5,absorb,"New Pig Corp . , Tipton , Pa . , offers a hot - dog - shaped sponge that absorbs polluting liquids around factory machines ",19,0,"[[['Fish and shellfish', 'Food']], [['Cooking and eating', 'Physics and chemistry']], ['around'], ['around']]",
6,absorb,Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight ,25,0,"[[['Physics and chemistry', 'Clothes and Fashion']], [['Space']], ['no'], ['for']]",
7,absorb,"The fatty deposits have a yellowish hue and therefore absorb more of the yellow laser energy than the surrounding , almost colorless artery wall ",9,0,"[[['none2&lot', 'Appearance'], ['Houses and homes', 'Houses and homes', 'Money', 'Politics', 'Geography']], [['Physics and chemistry'], ['Health and Fitness', 'The environment', 'Physics and chemistry']], ['more'], ['of']]",
8,absorb,"Mr. Filisko says his fluids do n't rely on absorbed water , and perform better as temperatures rise ",9,0,"[[['Cooking and eating', 'Physics and chemistry', 'Physics and chemistry']], [['Drinks', 'Transport by water', 'Difficulty and failure', 'Success', 'Difficulty and failure', 'Opinion and argument', 'Discussion and agreement', 'Life stages']], [""n't (not)""], ['on']]",
9,assault,"For example , he carefully steered clear of controversies such as New York 's Tawana Brawley case , where some rabble - rousing lawyers are charging that a young black woman was assaulted and raped by whites ",32,0,"[[['Life stages', 'People in society', 'Opinion and argument']], [['Crime and punishment', 'Difficulty and failure']], ['none'], ['by']]",
10,assault,"Last year , the NRA ran a newspaper ad featuring a harrowing photo of a frightened woman and asserting that a 20-year - old American woman has a 72 % chance of being raped , robbed or assaulted in her lifetime ",37,0,"[[['Life stages', 'People in society', 'Opinion and argument']], [['Crime and punishment', 'Difficulty and failure']], ['robbed'], ['of']]",
11,assault,"Among the tantrums he admits : heaving a faulty phone across the control room , kicking in a TV screen to force NBC to buy a new one , and assaulting construction workers who were too noisy during taping ",30,0,"[['people'], [['Buildings', 'Buildings', 'Buildings'], ['Working life']], ['too noisy'], ['during']]",
12,assault,Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife ,13,0,"[['people'], [['Family and relationships']], ['denied'], ['that']]",
13,assault,"He was detained on June 23 , and for two weeks he was regularly assaulted by South African police ",14,0,"[[['Law and justice']], ['people'], ['regularly'], ['by']]",
14,assault,"John Gil , a San Diego landlord , and Mike Black , an apartment manager , were sued in state Superior Court in San Diego by a tenant who was assaulted by a pet monkey owned by two other renters ",30,0,"[[['Houses and homes']], [['Animals'], ['Animals']], ['by'], ['by']]",
15,assault,"Mr. Guez , of Old Westbury , N.Y . , also is currently under indictment and awaiting trial for allegedly assaulting a deputy U.S. marshal who tried to seize Sasson records last year at the posh $ 5.5 million Manhattan townhouse where Mr. Guez once resided ",20,0,"[['people'], [['Discussion and agreement', 'Politics', 'Politics'], ['War and conflict', 'Law and justice']], ['allegedly'], ['for']]",
16,attack,One sure sign has reappeared to attest that the interests of the United States must be taking a turn for the good in El Salvador : The country is being attacked ,30,0,"[[['Geography', 'Music']], [], ['none'], ['none']]",
17,attack,"From the 14th century to Corregidor in 1942 , such forts had to be taken by storm before attacking ships could pass ",18,0,"[[['Transport by water', 'Transport by water']], [['History', 'Buildings']], ['before'], ['by']]",
18,attack,"Insects begin attacking the snags almost immediately after a fire , and the charred trunks are likely to be toppled by the wind ",2,0,"[[['Insects, worms, etc.']], [['Difficulty and failure']], ['almost immediately'], ['after']]",
