0,1,absorb,He absorbed the k0wledge or beliefs of his tribe .,1,0
1,1,absorb,He absorbed the costs for the accident .,1,0
2,4,absorb,The sales tax is absorbed into the state income tax .,1,0
3,4,absorb,The immigrants were quickly absorbed into society .,1,0
4,4,absorb,Her interest in butterflies absorbs her completely .,1,0
5,2,abuse,This boss abuses his workers .,0,0
6,2,abuse,Do n't abuse the system .,1,0
7,2,abuse,The actress abused the policeman who gave her a parking ticket .,0,0
8,3,abuse,Her husband often abuses alcohol .,1,0
9,3,accommodate,This hotel can accommodate 250 guests .,0,0
10,4,accommodate,The scientists had to accommodate the new results with the existing theories .,1,0
11,3,ack0wledge,The program committee ack0wledged the submission of the authors of the paper .,0,0
12,2,ack0wledge,He never ack0wledges his colleagues when they run into him in the hallway .,0,0
13,2,ack0wledge,We must ack0wledge the kindness she showed towards us .,0,0
14,0,ack0wledge,ack0wledge the deed .,0,0
15,4,ack0wledge,The Crown Prince was ack0wledged as the true heir to the throne .,0,0
16,5,adhere,The residents of this village adhered to Catholicism .,1,0
17,3,adhere,Will this wallpaper adhere to the wall ?,0,0
18,6,answer,The steering of my new car answers to the slightest touch .,1,0
19,0,answer,answer the telephone .,0,0
20,10,answer,The question concerning the meaning of life can 0t be answered .,0,0
21,2,answer,The defendant answered to all the charges of the prosecution .,0,0
22,1,ascend,We ascended the mountain .,0,0
23,3,ascend,Inheritance may 0t ascend linearly .,1,0
24,2,ascend,The path ascended to the top of the hill .,0,0
25,1,attack,"Hitler attacked Poland on September 1 , 1939 and started World War II .",0,0
26,8,attack,The editors of the left - leaning paper attacked the new House Speaker .,1,0
27,2,attack,The Serbs attacked the village at night .,0,0
28,1,attack,I attacked the problem as soon as I got out of bed .,1,0
29,4,attack,The cancer cells are attacking his liver .,1,0
30,2,besiege,The Turks besieged Vienna .,0,0
31,2,besiege,She was besieged by so many problems that she got discouraged .,1,0
32,3,besiege,The press photographers besieged the movie star .,1,0
33,3,bind,The Chinese would bind the feet of their women .,0,0
34,1,bind,They bind their books in leather .,0,0
35,2,bind,The hydrogen binds the oxygen .,1,0
36,1,blaze,Meteors blazed across the atmosphere .,1,0
37,9,blaze,The summer sun alone can cause a pine to blaze .,0,0
38,2,blaze,The spaceship blazed out into space .,1,0
39,2,blister,Her feet blistered during the long hike .,0,0
40,2,blister,The Senator blistered the administration in his speech on Friday .,1,1
41,2,blur,The haze blurs the hills .,0,0
42,2,blur,The fog blurs my vision .,0,0
43,6,blur,The distinction between the two theories blurred .,1,0
44,2,bolt,The listeners bolted when he discussed his strange ideas .,1,0
45,2,bolt,Do n't bolt your food !,1,0
46,4,boost,The tax cut will boost the eco0my .,1,0
47,0,boost,Boost the voltage in an electrical circuit .,0,0
48,5,boost,The singer had to be boosted onto the stage by a special contraption .,0,0
49,3,bounce,The rubber ball bounced .,0,0
50,8,bounce,The ex - boxer 's job is to bounce people who want to enter this private club .,1,1
51,2,bow,The government bowed to the military pressure .,1,0
52,1,breathe,He breathed new life into the old house .,1,0
53,4,breathe,Our new synthetic fabric breathes and is perfect for summer wear .,1,0
54,1,brush,Johnson brushed the hairs from his jacket .,0,0
55,1,brush,He brushed the wall lightly .,0,0
56,1,brush,She brushed the suit before hanging it back into the closet .,0,0
57,2,build,Suspense was building right from the beginning of the opera .,1,0
58,3,build,The government is building new schools in this state .,0,0
59,0,build,build a modern nation .,1,0
60,2,build,These architects build in interesting and new styles .,0,0
61,0,build,build a defense on 0thing but the accused person 's reputation .,1,0
62,3,buy,This sum will buy you a ride on the train .,0,0
63,3,buy,She wanted to buy his love with her dedication to him and his work .,0,0
64,3,buy,I ca n't buy this story .,1,0
65,2,buzz,bees were buzzing around the hive .,0,0
66,1,buzz,Planes buzzed the crowds in the square .,0,0
67,3,buzz,This office is buzzing with activity .,1,1
68,1,buzz,he buzzed the servant .,1,0
69,0,capture,capture the essence of Spring   .,1,1
70,1,capture,She captured all the men 's hearts .,1,0
71,3,capture,This nucleus has captured the slow - moving neutrons .,0,0
72,1,claw,They clawed their way to the top of the mountain .,1,0
73,1,claw,She clawed the doork0b .,1,0
74,2,claw,The politician clawed his rival .,1,0
75,3,climb,Did you ever climb up the hill behind your house ?,0,0
76,2,climb,Sales were climbing after prices were lowered .,1,0
77,2,climb,Sales were climbing after prices were lowered .,1,0
78,2,climb,The path climbed all the way to the top of the hill .,1,0
79,2,clog,The leaves clog our drains in the Fall .,0,0
80,2,clog,horses were clogged until they were tamed .,1,0
81,4,clog,The market is being clogged by these operations .,1,0
82,1,clog,Fear clogged her mind .,1,1
83,2,cloud,The smoke clouded above the houses .,0,1
84,3,cloud,Their faces were clouded with sadness .,1,1
85,2,cloud,The stroke clouded memories of her youth .,1,1
86,2,cloud,The chemical clouded the liquid to which it was added .,1,0
87,3,color,His political ideas color his lectures .,1,1
88,0,color,color the walls with paint in warm tones .,0,0
89,0,commit,commit a random act of kindness .,0,0
90,1,communicate,Please communicate this message to all employees .,0,0
91,1,communicate,He communicated his anxieties to the psychiatrist .,0,0
92,0,communicate,communicate a disease .,1,0
93,2,communicate,The rooms communicated .,1,0
94,1,compare,John compared his haircut to his friend 's .,0,0
95,4,compare,This car does 0t compare with our line of Mercedes .,0,0
96,2,compare,We can compare the Han dynasty to the Romans .,0,0
97,3,compose,Greed and ambition composed his personality .,1,0
98,1,compose,Beethoven composed nine symphonies .,0,0
99,4,computerize,Our office is fully computerized 0w .,0,0
100,1,computerize,They computerized the car industry .,0,0
101,0,condense,condense the contents of a book into a summary .,1,0
102,3,condense,The cold air condensed the steam .,0,0
103,3,condense,All our planets condensed out of the same material .,0,0
104,1,condense,Congress condensed the three - year plan into a six - month plan .,1,0
105,2,convulse,The comedian convulsed the crowd .,1,0
106,1,convulse,earthquakes convulsed the countryside .,1,1
107,2,convulse,The spasm convulses her facial muscles .,0,0
108,5,convulse,The muscles in her face convulsed .,0,0
109,3,crawl,The crocodile was crawling along the riverbed .,0,0
110,2,crawl,My skin crawled -- I was terrified .,1,1
111,4,crawl,The old cheese was crawling with maggots .,1,1
112,14,crawl,European children learn the breast stroke ; they often do n't k0w how to crawl .,0,0
113,3,crown,The prince was crowned in Westminster Abbey .,0,0
114,2,crown,The speech crowned the meeting .,1,0
115,3,crown,A weather vane crowns the building .,1,0
116,0,crush,crush an aluminum can .,0,0
117,2,crush,The car crushed the toy .,0,0
118,2,crush,She was crushed by his refusal of her invitation .,1,1
119,3,crush,The plastic bottle crushed against the wall .,0,0
120,3,curl,The cigar smoke curled up at the ceiling .,1,0
121,0,curl,"Curl my hair , please .",0,0
122,1,dash,He dashed the plate against the wall .,0,0
123,0,dash,dashed ambitions and hopes .,1,0
124,2,dash,blue paint dashed with white .,0,0
125,0,deflate,deflate the air mattress .,0,0
126,6,deflate,The bad review of his work deflated his self - confidence .,1,0
127,3,deflate,The new measures deflated the eco0my .,1,0
128,0,deflate,deflate the currency .,1,0
129,2,deflate,The balloons deflated .,0,0
130,1,design,Chanel designed the famous suit .,0,0
131,1,design,She designed a good excuse for 0t attending classes that day .,1,0
132,2,devour,Fire had devoured our home .,1,1
133,1,devour,She devoured his 0vels .,1,0
134,1,devour,he devoured three sandwiches .,0,0
135,3,digest,I can 0t digest milk products .,0,0
136,3,digest,I can 0t digest all this information .,1,0
137,1,digest,Protein digests in a few hours .,0,0
138,2,digest,the government digested the entire law into a code .,1,0
139,1,down,He downed three martinis before dinner .,1,0
140,3,down,Some people can down a pound of meat in the course of one meal .,1,0
141,2,down,The policeman downed the heavily armed suspect .,0,0
142,3,drain,The rain water drains into this big vat .,0,0
143,1,drain,We drained the oil tank .,0,0
144,4,drain,Life in the camp drained him .,1,0
145,1,drift,s0w drifting several feet high .,0,0
146,3,drift,stock prices are drifting higher .,1,0
147,2,drift,My son drifted around for years in California before going to law school .,1,1
148,4,drift,The unk0wn young man drifted among the invited guests .,1,0
149,0,drift,drift the boats downstream .,0,0
150,3,drift,The stock market drifted upward .,1,0
151,3,drink,The patient must drink several liters each day .,0,0
152,2,drink,The mother drinks in every word of her son on the stage .,1,0
153,2,drink,The husband drinks and beats his wife .,0,0
154,1,drown,She drowned her trouble in alcohol .,1,1
155,2,drown,The child drowned in the lake .,0,0
156,2,dull,Age had dulled the surface .,0,0
